date,title,energy
2025/1/01,[心得] 2024 美股指數&產業ETF報酬率,17
2025/1/01,[心得] 房蟲2024年報,14
2025/1/01,[心得] 延畢大學生 2024年結算,7
2025/1/01,"[心得] 2024年報(太早降槓桿,重新存股TQQQ)",35
2025/1/01,[心得]「小散戶年報心得(檢討)文」,13
2025/1/01,Re: [新聞] 2024最悲情！　台塑四寶今年股價重摔逾55,15
2025/1/01,[心得] 2024小資年報,9
2025/1/01,[心得] 2003~2024台股大盤報酬率,18
2025/1/01,[情報] 00881配息公告0.75元,12
2025/1/01,[心得] 台股前七大權值與大盤年度漲幅,32
2025/1/01,[新聞] 00927 2025 一月除息0.37元,1
2025/1/01,[新聞] AI產業領導人爭先恐後投資核電,99
2025/1/01,Re: [新聞] 林毅夫：陸2025年跨進高收入門檻,17
2025/1/01,[心得] 大學生奈米資定期定額年報,63
2025/1/01,[新聞] 0050市值ETF首選？ 專家3理由喊「風向變,12
2025/1/01,[新聞] 台積電售價過高 傳輝達、高通轉向三星2奈,99
2025/1/01,Re: [請益] 台股高點是不是到了,49
2025/1/01,[新聞] 台塑四寶「上兆市值蒸發」套牢87萬股民,47
2025/1/01,[新聞] 傳台積電面臨良率問題 蘋果採用2奈米晶片,67
2025/1/01,Re: [新聞] 台積電售價過高 傳輝達、高通轉向三星2奈,8
2025/1/01,[新聞] 觀光署：歡迎陸客來台旅遊 建議觀光小兩,62
2025/1/01,[心得] 債蛙轉股蛙2024財報,3
2025/1/01,[標的] 高股息選0056最簡單？,45
2025/1/01,[創作]  為債而活(為你而活),4
2025/1/01,[標的] 5706鳳凰,10
2025/1/01,"[新聞] 外資去年賣超6,951億元 聯詠、中租、聯電",31
2025/1/01,[標的] 1216統一,18
2025/1/01,[心得] 2024年報,29
2025/1/01,[心得] 生涯報酬率(滿9.5年),22
2025/1/01,Re: [新聞] 傳台積電面臨良率問題 蘋果採用2奈米晶片,0
2025/1/01,[心得] 2024年存股年報 (滿兩年),9
2025/1/01,[心得]  沒年報分享 但推廣善行,73
2025/1/01,[心得] 2024年年報,30
2025/1/01,[心得] 2024 零股塔紀錄分享,11
2025/1/01,[心得] 2024年報分享,18
2025/1/01,[新聞] 制霸電競 華碩ROG榮登《TIME》全球最佳品,45
2025/1/02,[情報] 中信投等債00948B，預估收益分配0.042,99
2025/1/02,[創作] 鬥球兒彈平,26
2025/1/02,[心得] 2025首沖,99
2025/1/02,Re: [新聞] 藍營《老福法》修法！敬老票「陪搭車」,-10
2025/1/02,Re: [請益] 富果帳號與玉山證券停止合作,45
2025/1/02,[情報] 2323 中環 處分陽明，取得華碩、廣達,6
2025/1/02,[閒聊] 2025/01/02 盤後閒聊,41
2025/1/02,[情報] 00943 114/01/17預估除息0.018元,8
2025/1/02,Re: [新聞] 綠電不夠用？ 台積永續報告露端倪,28
2025/1/02,[新聞] 外資賣超275億元連3賣 台積電、鴻海皆遭,4
2025/1/02,[新聞] 1人的武林！測試設備大廠曝只有台積電生,32
