date,title,energy
2022/12/31,[公告] 12/31 處置公告,19
2022/12/31,Re: [心得] 2022年報心得,0
2022/12/31,[心得] 2022 台股投資回顧 - 賠錢,9
2022/12/31,[心得] 2022年報心得,25
2022/12/31,[心得] 2022年年報之只有我賠到快賣房嗎?,100
2022/12/31,[心得] 2022年總結---股板只有我賠錢,100
2022/12/31,[請益] 為什麼高股息最夯的是00878和0056?,43
2022/12/31,[心得] 白忙一年的2022年報,38
2022/12/31,[請益] 買到6字台積/32.5美元/踩到ftx雷的省思,64
2022/12/31,[心得] 2022大魯空的年度總結,55
2022/12/31,[情報] 6547高端疫苗說明及澄清媒體不實報導,53
2022/12/31,[請益] 持股想去蕪存菁 (5選3或2）,24
2022/12/31,Re: [新聞] 高端內線至少5件 張世忠認罪交保、,16
2022/12/31,[心得] 2022半年報,7
2022/12/31,[心得] 沉船水手 2022年報,41
2022/12/31,Re: [心得] 2022，正二，0050，債券一次性比較,16
2022/12/31,Re: [請益] 大家一窩蜂正2是否會有擦鞋童效應?,28
2022/12/31,[標的] 持股健診,9
2022/12/31,[請益] 2022把2021賺的賠光算正常嗎？,29
2022/12/31,[心得] 2022小資多軍年報,10
2022/12/31,[心得] 年度總結,25
2022/12/31,[心得] 生涯報酬率(滿7.5年),11
2022/12/31,[心得] 2022年報,10
2022/12/31,"[心得] 2022年報, TQQQ腳麻跑不動",54
2022/12/31,[心得] 2022年金融奈米存股族 2884,29
2022/12/31,[請益] 大家一窩蜂正2是否會有擦鞋童效應?,78
2022/12/31,[標的] TSLA.US 開盤往下空,25
2022/12/31,Re: [新聞] 高端內線至少5件 張世忠認罪交保、,7
2022/12/31,[心得] 2022，正二，0050，債券一次性比較,39
2022/12/31,[新聞] 一周熱門零股/00878蟬聯交投第一,2
2022/12/31,[請益]00878平準金疑問?,16
2022/12/31,[新聞]  SCFI止跌惟1月GRI沒漲成歐洲線恐再虧損,15
2022/12/31,[心得] 2022 台美股漲跌幅排行榜,17
2022/12/31,[新聞] 中油今年吸收將逾3000億元 明年虧損有望,43
2022/12/31,Re: [新聞] 特斯拉像比特幣 克魯曼：靠炒作和信仰,16
2022/12/31,[心得]奈米戶2022年報,8
2022/12/31,[新聞] 美股收黑結束2022年 自2008年以來最糟糕,14
2022/12/31,[新聞] 全球航運業引頸期盼 運價終於止跌！ SCFI,0
2022/12/31,Re: [請益] 跌五六千點沒畢業反而一堆獲利也太鬼,11
2022/12/31,Re: [請益] 跌五六千點沒畢業反而一堆獲利也太鬼,8
2022/12/31,[新聞] 中證監:推進富途證券、老虎證券非法跨境,18
2022/12/30,[新聞] 2022年台股排行榜！高端跌最慘 這檔狂飆,13
2022/12/30,[新聞] 聯發科今年跌幅49% 市值蒸發9436億元,41
2022/12/30,[情報] 12/30全市場當沖虧損最多的股票,15
2022/12/30,"[心得] 2022年報,賠錢邊緣",9
2022/12/30,[心得] 2022 小小上班族年報,9
2022/12/30,[標的] 持股健檢,44
2022/12/30,[情報] 111年12月30日信用交易統計,6
2022/12/30,[心得] 2022年報,74
2022/12/30,[情報] 1230 上市櫃外資投信同買排行,0
2022/12/30,[情報] 2849 安泰銀 增加提列備抵呆帳957百萬,21
2022/12/30,Re: [新聞] 史上新高！國發基金今年獲利297億、基金,9
2022/12/30,[新聞] 新台幣封關! 全年貶幅近10% 創25年最大,20
2022/12/30,[新聞] 大摩看好特斯拉逆勢占鰲頭 曝進場點浮現,7
2022/12/30,[情報] 1230 上市櫃外資投信買超金額排行,3
2022/12/30,[新聞] 史上新高！國發基金今年獲利297億、基金,19
2022/12/30,[新聞] 泰山霹靂火繼續上演 詹皓鈞再發公開信給,24
2022/12/30,[新聞] 台積第四季法說會 提前召開,39
2022/12/30,[情報] 1230八大公股銀行買賣超排行,6
2022/12/30,[心得] 2022年報  股版潛水6年第一篇文,33
2022/12/30,[新聞] 戶頭一早多200萬元！長榮年終獎金今早入帳,30
2022/12/30,[標的] 1234 黑松 賣方主力籌碼見底 資產保護,40
2022/12/30,[心得] 2022 小散戶年報&人生交易回顧,23
2022/12/30,[新聞] 新光金/【台股封關秀】誰是2022年外資「,12
2022/12/30,[心得] 2022小資金年報,27
2022/12/30,[情報] 金管會核准證券集中保管事業得經營公開發,8
2022/12/30,[新聞] 水手終於等到！SCFI止步27跌 運價翻紅 再,25
2022/12/30,[新聞] 11月製造業景氣燈號亮藍燈,14
2022/12/30,[創作] 第一次（兼2022年心得）,0
2022/12/30,[情報] 1230 上市外資買賣超排行,23
2022/12/30,[心得] 2022年報 專業(失業)投資人的第一年,100
2022/12/30,[心得] 2022年報 ：鎂夢落空,28
2022/12/30,[情報] 1230 上市投信買賣超排行,9
2022/12/30,[情報] 111年12月30日 三大法人買賣金額統計表,33
2022/12/30,[情報] 1230 SCFI 指數 1107.55 (+0.46),66
2022/12/30,[新聞] 龍頭股連續配息機會佳,8
2022/12/30,[標的] 2609 陽明 軍工多,0
2022/12/30,[新聞] 台股至少寫下三大慘紀錄 股民平均賠100萬,62
2022/12/30,[新聞] 特斯拉像比特幣 克魯曼：靠炒作和信仰,52
2022/12/30,[閒聊] 2022/12/30 盤後閒聊,39
2022/12/30,Re: [新聞] 泰山老董詹景超首度發聲：不求戰也不,26
2022/12/30,[新聞] 台股2022年大跌22% 每位股民帳面虧100萬,59
2022/12/30,[新聞] 汽車旺季到 東陽、裕隆抗跌,8
2022/12/30,[新聞] 三商壽賣復華投信持股 南山壽27.64億接手,3
2022/12/30,[新聞] 陽明年終13個月　全年獎金上看39個月,14
2022/12/30,[新聞] 八方雲集美國售價調漲10% 二店今試營運、,28
2022/12/30,[心得] 小魯空的2022年成績單,100
2022/12/30,[請益] 是不是該轉做指數型ETF,39
2022/12/30,Re: [請益] 大陸確診死亡數與金融關係,27
2022/12/30,[請益] 大陸確診死亡數與金融關係,33
2022/12/30,[新聞] 台股今封關 外資賣超篤定創紀錄,2
2022/12/30,[新聞] 高端、基亞涉內線交易　早盤股價大跌9%,27
2022/12/30,[新聞] 高端內線質疑不斷 股價差13倍,42
2022/12/30,[閒聊] 2022/12/30 盤中閒聊,100
2022/12/30,[新聞] 台積：3奈米需求強勁,68
2022/12/30,[新聞] 獨家＞ 再次被錢砸醒 長榮海運豪發45個,100
2022/12/30,[情報] 12/29 全市場當沖虧損最多的股票,14
2022/12/29,[新聞] 宏達電拚減碳 產品設計融入綠色製程,26
2022/12/29,Re: [心得] 2022賠錢賣屁股總結,3
2022/12/29,[新聞] 科技股重挫+衰退擔憂增 亞馬遜今年流失半,3
2022/12/29,[新聞] 全球經濟衰退寒冬來臨？內需產業回溫,6
2022/12/29,[心得] 2022年度回顧,17
2022/12/29,Re: [心得] 2022年度報酬,7
2022/12/29,[新聞] 快訊／涉內線交易遭士檢搜索　基亞：配合,12
2022/12/29,[情報] 111年12月29日信用交易統計,9
2022/12/29,Re: [新聞] 整理包／景氣藍燈多可怕？六次歷史經,7
2022/12/29,[新聞] 快訊／高端涉內線交易案檢調兵分16路搜索,100
2022/12/29,[標的] 00893 國泰電動車 斷頭貪婪多,31
2022/12/29,[請益] 遺產全丟voo可行嗎？,62
2022/12/29,"[新聞] 國軍大手筆砸 500 億採購 3,000 架無人",55
2022/12/29,[情報] 2867 三商壽 決議處分復華證券投資信託股份有限公司普通股,31
2022/12/29,[新聞] 傳丟iPhone 15 Pro獨供 鴻海股價再現2位,34
2022/12/29,[新聞] 合一新藥開發 2023火力全開,12
2022/12/29,[新聞] 合一：今年新藥研發充滿挑戰 中國藥證持,11
2022/12/29,[情報] 1229 上市櫃外資投信同買排行,0
2022/12/29,[情報] 1229八大公股銀行買賣超排行,4
2022/12/29,Re: [新聞] 國泰世華銀ATM當機挨罰1200萬 老總減薪3,3
2022/12/29,[情報] 1229 上市櫃外資投信買超金額排行,0
2022/12/29,Re: [新聞] 超微要來台灣了！台積電又一客戶登台設,32
2022/12/29,[新聞] 國泰世華銀ATM當機挨罰1200萬 老總減薪3,24
2022/12/29,[請益] 什麼某某期貨業務 是詐騙嗎?,13
2022/12/29,[新聞] 國泰蔡家買全家股權 金管會農曆年前約談,10
2022/12/29,[情報] 1229 上市外資買賣超排行,36
2022/12/29,[新聞] 【貿協看明年2】「燈號轉藍、分數急落」,19
2022/12/29,[情報] 台積公司舉辦3奈米量產暨擴廠典禮 締造,33
2022/12/29,[情報] 111年12月29日 三大法人買賣金額統計表,45
2022/12/29,[情報] 1229 上市投信買賣超排行,9
2022/12/29,Re: [新聞] 特斯拉今年重挫近70% 但分析師仍看漲：20,6
2022/12/29,[新聞] 特斯拉今年重挫近70% 但分析師仍看漲：20,32
2022/12/29,[新聞] 台灣浩鼎創辦人、董事長張念慈今上午突發,34
2022/12/29,[新聞] 《科技》Gogolook大股東陣容堅強 拚上市拓海外,4
2022/12/29,[閒聊] 2022/12/29 盤後閒聊,57
2022/12/29,[新聞] 明年生效！　加州禁止特斯拉宣傳「自動駕,59
2022/12/29,[新聞] 穩物價 台糖、台鹽設平價專區,26
2022/12/29,Re: [請益] 如果只投資高股息ETF 持續再投入,18
2022/12/29,[新聞] 越南本季經濟擴張優於預期 GDP成長近6%,29
2022/12/29,[新聞] 超微要來台灣了！台積電又一客戶登台設,100
2022/12/29,[新聞] 望兔年開紅盤 限空令擬撐過農曆年,10
2022/12/29,[新聞] 航空雙雄迎長假商機！ Q1客運量估季增4成,16
2022/12/29,[新聞] 國泰金程淑芬：台股利空已反映2/3,74
2022/12/29,[新聞] 伺服器產業遇冷 13檔台廠供應鏈不妙,10
2022/12/29,[新聞] 台銀大買...國安基金進場了,50
2022/12/29,[閒聊] 2022/12/29盤中閒聊,100
2022/12/29,[新聞] 蘋果股價探18個月低點 市值2兆美元恐不保,29
2022/12/29,[請益] 景氣燈號投資法會有擦鞋童效應嗎？,70
2022/12/29,[創作] 多頭在嗎,5
2022/12/29,[新聞] 海運業掀退船潮 疫情來首見,34
2022/12/29,Re: [新聞] 台積電10大客戶齊砍單 首季稼動率崩跌,29
2022/12/29,Re: [新聞] 房價一年飆漲1500萬 新竹男想增貸700,12
2022/12/29,Re: [新聞] 整理包／景氣藍燈多可怕？六次歷史經,36
2022/12/28,Re: [新聞] 台積電10大客戶齊砍單 首季稼動率崩跌,3
2022/12/28,[情報] 1228 上市櫃外資投信同買排行,0
2022/12/28,[情報] 1228 上市櫃外資投信買超金額排行,0
2022/12/28,[新聞] 台積電10大客戶齊砍單 首季稼動率崩跌,49
2022/12/28,Re: [新聞] 筆電賣不完搞死晶片業！美媒揭庫存暴,2
2022/12/28,[新聞] 陽明50周年、最輝煌的一年　兩年來獲利,18
2022/12/28,[情報] 12/28全市場當沖虧損最多的股票,3
2022/12/28,[情報] 111年12月28日 櫃買法人買賣金額統計表,0
2022/12/28,[心得] 2022年度報酬,100
2022/12/28,Re: [新聞] 整理包／景氣藍燈多可怕？六次歷史經,60
2022/12/28,[新聞] 整理包／景氣藍燈多可怕？六次歷史經驗告,64
2022/12/28,[情報] 111年12月28日信用交易統計,9
2022/12/28,[新聞] 高盛獨排眾議 看好美國經濟2023年可達成,8
2022/12/28,Re: [新聞] 房價一年飆漲1500萬 新竹男想增貸700,55
2022/12/28,Re: [新聞] 春節後普發1萬元振興券?餐飲股、飯店股全面上攻,37
2022/12/28,Re: [新聞] 春節後普發1萬元振興券?餐飲股、飯店股全面上攻,21
2022/12/28,[情報] 1228八大公股銀行買賣超排行,19
2022/12/28,[新聞] 筆電賣不完搞死晶片業！美媒揭庫存暴增慘,100
2022/12/28,[新聞] 飯店業鬧人力荒 君悅總經理：我也要去鋪,37
2022/12/28,[新聞] 景氣燈號低迷 王美花：明年經濟挑戰大,26
2022/12/28,[新聞] 興櫃/悠遊卡元月3日50元登錄興櫃 董座陳,29
2022/12/28,[新聞] 春節後普發1萬元振興券?餐飲股、飯店股全面上攻,100
2022/12/28,[情報] 1228 上市外資買賣超排行,16
