date,title,energy
2023/12/31,[請益] 台灣晶圓代工的強項,17
2023/12/31,[心得] 2023年年報,39
2023/12/31,[心得] 本保羅2023年的操作回顧及經驗分享,8
2023/12/31,Re: [新聞] 2024年AI PC全面引爆!謝金河揭緯創等3檔接,27
2023/12/31,[請益] 關於海外複委託的「複受託金融機構」,6
2023/12/31,[新聞] 紅海事件油價先漲後跌 法人看短線難翻揚,15
2023/12/31,[新聞] 馬士基再停航紅海航線 因貨櫃輪遭遇輪番,99
2023/12/31,[新聞] 總統大選快到謝金河驚股市攀峰用錢在投票,2
2023/12/31,[新聞] 2024年AI PC全面引爆!謝金河揭緯創等3檔接,50
2023/12/31,[新聞] 謝志堅看繞回好望角農曆年前獲利無虞,4
2023/12/31,[新聞] 航運巨頭返航紅海遭飛彈擊中！美國護衛,99
2023/12/31,[新聞] 賴清德贊成公開疫苗合約 高端：應一視同仁,97
2023/12/31,"[請益] IB盈透證卷買美債, 可提早賣出嗎？",12
2023/12/31,[心得] 2023美股不妥投資,1
2023/12/31,[心得] 「小散戶年報心得(檢討)文」,37
2023/12/31,Re: [心得] 2023年台股上市櫃漲幅排行,8
2023/12/31,[新聞] 車手剛拿到37萬遇警嚇歪 被害婦還幫他圓,29
2023/12/31,[新聞] 藍、白劍指疫苗合約 高端：研發壓力大,97
2023/12/31,[心得] 2023年報,7
2023/12/31,[心得] 2023年台股上市櫃漲幅排行,49
2023/12/31,[心得] 2022-2023年報 美股,12
2023/12/31,[心得] 2022~2023年報(感恩今年的運氣),8
2023/12/31,[心得] 2023投資年報分享,6
2023/12/30,Re: [請益] 被動收入24萬/年有人達到過嗎,98
2023/12/30,[心得] 台股美股休市日比較,29
2023/12/30,[心得] 2023～加入某投顧才開始賺錢,7
2023/12/30,[情報] 6906 現觀科 現金增資公開申購資訊,6
2023/12/30,[心得] 2023投資績效報告(美股),22
2023/12/30,[心得] 2023年報(存股TQQQ 正三),87
2023/12/30,[心得] 2023年報紀錄,7
2023/12/30,Re: [請益] 被動收入24萬/年有人達到過嗎,62
2023/12/30,[請益] 正二的停利方法？,37
2023/12/30,[標的] 英國 15y+長期債 GLTL,5
2023/12/30,[請益] 為啥今年只有我沒賺錢,89
2023/12/30,[心得] 2023全家人戶頭年報,37
2023/12/30,[心得] 生涯報酬率(滿8.5年),50
2023/12/30,[心得] 2023年年報,10
2023/12/30,Re: [心得] 使用Cover call交易美股選擇權心得,2
2023/12/30,Re: [請益] 被動收入24萬/年有人達到過嗎,8
2023/12/30,[心得] 2023年報,23
2023/12/30,[標的] 用定期定額來攤平合理嗎？,39
2023/12/30,[情報] 2023年國內金融類股含息總績效排名,11
2023/12/30,Re: [請益] 被動收入24萬/年有人達到過嗎,10
2023/12/30,[請益] 所以今年九成的人都賺錢？,98
2023/12/30,[新聞] 丹麥船員加薪一倍 彌補紅海航線遇襲潛在,18
2023/12/30,Re: [請益] 被動收入24萬/年有人達到過嗎,30
2023/12/30,[新聞] 2023年當沖客慘賠444億 平均一戶賠約44萬,68
2023/12/30,[標的] 長榮2603 即將填息在拼三百壯士多,-10
2023/12/30,[新聞] 貨櫃運價火 一周暴漲40% 歐洲線狂飆八成,31
2023/12/30,Re: [請益] 奈奈奈米萬七存股請益(分享?),14
2023/12/30,[心得] 2023年報,20
2023/12/30,[請益] 有關買入價格的問題,2
2023/12/30,[心得] 2023借錢凹單年報,54
