date,energy_abs,energy_mean,energy_std,post_count,avg_energy,title_count,MA_7,MA_30,MA_60,stable_MA,ratio,emotion_momentum,emotion_acceleration,emotion_volatility,emotion_rsi,emotion_deviation,panic_threshold,calm_threshold,extreme_threshold,twii_open,twii,twii_volume,twii_ret,MA_200,cycle_phase,emotion_intensity,phase_confidence,buy_signal_cycle,sell_signal_cycle,signal_confidence,signal_reason,top_titles,news_titles
2019-01-24,72.0,72.0,0.0,1.0,72.0,1.0,72.0,72.0,72.0,72.0,1.0,,,,50.0,0.0,2.5,1.3,3.5,9865.0,9877.1201171875,1452000.0,,9877.1201171875,正常期,低,0.5,False,False,0.0,,🔥[72] [心得] 淺談基本、技術、籌碼面,
2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,36.0,50.0,0.0,-1.0,,,0.0,0.0,2.5,1.3,3.5,9923.3896484375,9969.6103515625,1944600.0,0.9364089256548969,9923.365234375,正常期,低,0.5,False,False,0.0,,No data,No news
2019-01-26,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,50.0,0.0,0.0,1.0,,0.0,0.0,2.5,1.3,3.5,9923.3896484375,9969.6103515625,1944600.0,0.0,9938.7802734375,正常期,低,0.5,False,False,0.0,,No data,No news
2019-01-27,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,50.0,0.0,0.0,0.0,,0.0,0.0,2.5,1.3,3.5,9923.3896484375,9969.6103515625,1944600.0,0.0,9946.48779296875,正常期,低,0.5,False,False,0.0,,No data,No news
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0,14.4,14.4,14.4,50.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,2.5,1.3,3.5,10006.4599609375,10013.330078125,1656900.0,0.4385299427038136,9959.85625,正常期,低,0.5,False,False,0.0,,No data,No news
2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,50.0,0.0,0.0,0.0,0.408248290463863,0.0,0.0,2.5,1.3,3.5,9944.7099609375,9931.58984375,1647200.0,-0.816314190556533,9955.145182291666,正常期,低,0.5,False,False,0.0,,No data,No news
2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0,10.285714285714286,10.285714285714286,10.285714285714286,50.0,0.0,0.0,0.0,0.37796447300922725,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.006745363889759659,9951.87583705357,正常期,低,0.5,False,False,0.0,,No data,No news
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,50.0,0.0,0.0,0.0,0.3535533905932738,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9949.423828125,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,50.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9947.516710069445,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,50.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9945.991015625,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545454545454546,6.545454545454546,50.0,0.0,0.0,0.0,0.30151134457776363,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9944.742720170454,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,50.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9943.702473958334,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.538461538461538,5.538461538461538,50.0,0.0,0.0,0.0,0.2773500981126146,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9942.822265625,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,5.142857142857143,50.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9942.067801339286,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,50.0,0.0,0.0,0.0,0.2581988897471611,0.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9941.413932291667,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,50.0,0.0,0.0,0.0,0.25,50.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9940.841796875,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235294117647059,4.235294117647059,50.0,0.0,0.0,0.0,0.24253562503633297,50.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9940.336971507353,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,50.0,0.0,0.0,0.0,0.23570226039551584,50.0,0.0,2.5,1.3,3.5,9915.9697265625,9932.259765625,1981800.0,0.0,9939.888237847223,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789473684210526,3.789473684210526,50.0,0.0,0.0,0.0,0.22941573387056177,50.0,0.0,2.5,1.3,3.5,10029.83984375,10004.25,2320500.0,0.7248122388437084,9943.275699013158,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,50.0,0.0,0.0,0.0,0.22360679774997896,50.0,0.0,2.5,1.3,3.5,10032.080078125,10097.740234375,2264900.0,0.9345051790488945,9950.99892578125,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,3.4285714285714284,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10123.6103515625,10090.580078125,2455200.0,-0.0709085011478594,9957.64564732143,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.272727272727273,3.272727272727273,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10095.990234375,10089.009765625,2140200.0,-0.01556216280770295,9963.616743607954,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.130434782608696,3.130434782608696,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10111.1796875,10064.7802734375,2137700.0,-0.24015728748776333,9968.01515794837,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10111.1796875,10064.7802734375,2137700.0,0.0,9972.047037760416,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,2.88,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10111.1796875,10064.7802734375,2137700.0,0.0,9975.7563671875,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,2.769230769230769,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10096.9404296875,10145.2802734375,1911900.0,0.7998187522528566,9982.276517427885,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10152.1103515625,10152.259765625,1765600.0,0.06879545955742472,9988.572193287036,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,2.5714285714285716,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10181.9404296875,10272.4599609375,2246700.0,1.1839747808610301,9998.711042131696,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4827586206896552,2.4827586206896552,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10282.3203125,10319.5302734375,2282400.0,0.45821850539200515,10009.77377424569,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10309.01953125,10322.919921875,2188700.0,0.03284692566118963,10020.211979166666,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3225806451612905,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10309.01953125,10322.919921875,2188700.0,0.0,10029.976751512097,正常期,低,0.5,False,False,0.0,,No data,No news
2019-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2.5,1.3,3.5,10309.01953125,10322.919921875,2188700.0,0.0,10039.131225585938,正常期,低,0.5,False,False,0.0,,No data,No news
