date,title,energy
2020/12/31,[新聞] Intel股東建議外包晶片製造,29
2020/12/31,[新聞] 2020台股封關兩樣情！這檔股票飆漲2314%,19
2020/12/31,[心得] 2020 已實現損益分享,6
2020/12/31,[心得] 2020半年總結,75
2020/12/31,[請益] 違約交割處理後股票不見,14
2020/12/31,[標的] NIO-US美股ADR  蔚來(三)BaaS(2),7
2020/12/31,[請益] 零股的除權息問題,5
2020/12/31,"Re: [心得] 上班族的小確性,2020年,獲利結算與回顧",0
2020/12/31,[心得] 第一次跟著操作的成果,64
2020/12/31,[新聞] 〈可成售廠〉封關日完成交割 處分利益18,24
2020/12/31,Re: [心得] 為了一千多元違約交割 請慎選券商,3
2020/12/31,[請益] 可以融資再質借來開槓桿嗎?,33
2020/12/31,Re: [心得] 為了一千多元違約交割 請慎選券商,-10
2020/12/31,[新聞] 中信金、兆豐、上海3銀行拿到「新財管方,6
2020/12/31,Re: [心得] 為了一千多元違約交割 請慎選券商,0
2020/12/31,[新聞] 中華電賣華航持股 處分利益1668萬元,21
2020/12/31,[其他] 過期的徵文-在國安基金入場前一天賣股,18
2020/12/31,[標的] 6547 高端疫苗 長線多,10
2020/12/31,[新聞] 資金輪動搶進IC設計股 系微漲停、驅動IC雙雄激昂,2
2020/12/31,[新聞] 中國需求可能幫助特斯拉2022年交付100萬輛,9
2020/12/31,[新聞] 傳中芯國際取得成熟製程許可，衝擊聯電、,36
2020/12/31,[心得] 2020總結,31
2020/12/31,[請益] Re: [請益] 當沖一個月賺五萬適合專職嗎,14
2020/12/31,[新聞] 中國 LFP 電池低價搶市，歐美車廠擴大使,16
2020/12/31,Re: [請益] 今年股票賺很少不是很給力,13
2020/12/31,[標的] 6150撼訊 空,43
2020/12/31,[新聞] 封關日台積電股價創高 年初買1張賺19.9萬,64
2020/12/31,Re: [新聞] 《汽車股》裕隆外資點火爆量,9
2020/12/31,[心得] TOP30 地雷股跌幅排行榜 (今年以來),67
2020/12/31,[請益] 今年股票賺很少不是很給力,5
2020/12/31,[新聞] 因為「它」 護國神山愈獲科技業青睞,11
2020/12/31,[新聞] 2020年上漲44點封關！全年大漲2735點創新,27
2020/12/31,[心得] TOP30 飆股漲幅排行榜(今年以來),71
2020/12/31,[新聞] 《汽車股》裕隆外資點火爆量,12
2020/12/31,[新聞] 三星擬生產LCD面板至2021年底,24
2020/12/31,Re: [標的] 長榮航2618 華航2610 12/31開盤多,18
2020/12/31,[其他] 全球貨櫃航運列表,44
2020/12/31,[公告] Stock 樂透開獎,6
2020/12/31,[新聞] 日本準備推行央行數位貨幣　跟上中國和,22
2020/12/31,Re: [心得] 2020 你犯了什麼錯誤才虧錢?,51
2020/12/31,[新聞] 2020最爭議財團2》三張網撐起寶佳帝國版,12
2020/12/31,[新聞] 陽明:2021年第一季貨櫃海運價量維持高檔,100
2020/12/31,Re: [其他] 長榮今天年終出爐,34
